altitude	exposition	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu
2847	92	18	228	39	4444	245	210	88	4861
2837	113	12	212	29	4414	240	228	117	4891
2834	196	11	192	30	4384	217	249	165	4921
2840	196	15	170	36	4354	215	251	166	4951
2840	189	16	150	36	4324	219	250	160	4981
2844	190	14	134	40	4294	219	250	161	5011
2844	164	15	124	40	4264	232	244	138	5041
2840	152	18	108	36	4234	239	238	121	5071
2834	146	22	95	30	4204	244	231	105	5101
2827	148	24	85	32	4174	243	230	102	5131
2821	143	26	67	26	4144	246	224	89	5161
2808	139	25	60	13	4114	248	223	88	5191
2801	137	21	60	6	4084	247	226	97	5221
2791	135	15	42	0	4054	243	232	115	5251
2788	129	7	30	-2	4024	231	236	137	5281
2785	11	4	30	-2	3994	216	232	153	5311
2788	21	10	0	0	3964	214	219	141	5341
2781	22	11	0	0	3934	213	217	139	5371
2785	338	11	0	0	3904	195	224	168	5401
2788	336	13	30	7	3874	190	222	170	5431
2791	333	14	30	10	3844	187	221	173	5461
2795	347	12	42	10	3814	197	221	161	5491
2795	339	11	67	17	3784	197	225	166	5521
2798	311	14	85	17	3754	182	230	187	5551
2804	311	14	108	13	3724	181	229	188	5581
2811	320	12	127	36	3694	188	228	180	5611
2814	320	11	150	46	3664	191	229	178	5641
2818	315	9	170	46	3634	196	233	176	5671
2821	297	7	192	56	3604	201	238	176	5701
2824	281	4	212	56	3575	209	240	169	5731
2824	108	2	234	62	3545	223	236	149	5761
2821	106	9	258	63	3515	235	229	125	5791
2814	112	13	283	59	3485	242	225	109	5821
2808	119	16	309	53	3455	245	225	104	5851
2801	126	15	300	115	3425	244	229	110	5881
2795	147	11	277	109	3395	235	239	134	5911
2795	127	17	255	109	3365	245	227	105	5941
2781	119	23	234	95	3335	252	213	76	5971
2772	119	23	212	86	3305	252	213	76	6001
2758	116	22	192	82	3275	252	212	76	6031
2749	126	18	170	73	3245	247	225	98	6061
2732	139	27	127	59	3185	248	220	82	6121
2722	142	28	108	55	3155	247	221	83	6151
2713	143	30	85	46	3125	246	218	78	6181
2703	141	35	67	36	3095	246	208	59	6211
2686	141	37	60	19	3065	245	203	52	6241
2673	148	32	60	6	3035	243	218	78	6271
2663	145	25	60	-3	3005	245	227	94	6301
2657	129	18	60	-12	2975	247	226	101	6331
2650	101	12	60	-22	2946	240	224	112	6361
2647	77	6	60	-19	2916	228	228	134	6391
2647	86	12	60	-19	2886	237	221	113	6421
2631	97	11	60	-31	2856	238	224	116	6451
2634	225	6	67	-19	2826	212	246	171	6481
2640	249	9	67	-16	2796	201	247	184	6511
2644	286	7	60	-12	2766	201	240	179	6541
2644	322	9	60	-12	2736	198	232	173	6571
2647	357	14	42	-15	2706	197	213	153	6601
2644	9	23	30	13	2676	188	188	130	6631
2644	355	27	0	0	2646	167	182	146	6661
2647	328	31	30	16	2616	129	186	187	6691
2663	310	37	42	29	2586	97	188	217	6721
2683	300	38	67	52	2556	93	196	229	6751
2703	296	33	95	76	2526	110	208	229	6781
2719	300	24	124	95	2496	147	222	212	6811
2726	320	12	153	86	2467	189	228	180	6841
2693	84	9	95	11	2048	233	225	123	6949
2690	104	9	90	8	2018	235	229	126	6930
2686	112	13	85	14	1988	242	226	111	6911
2677	117	16	67	14	1958	245	224	103	6892
2669	118	15	42	6	1928	244	226	107	6873
2662	102	12	30	6	1899	239	225	114	6855
2656	3	5	0	0	1869	214	231	155	6836
2663	321	12	0	0	1839	188	228	179	6817
2666	328	13	30	9	1809	188	224	175	6799
2670	337	12	42	10	1779	195	224	168	6781
2671	349	11	67	17	1749	199	221	160	6762
2674	347	13	95	27	1719	194	218	162	6744
2676	2	15	124	26	1690	198	211	149	6726
2638	96	9	67	17	1065	235	227	123	6367
2630	95	20	60	9	1036	247	207	80	6351
2616	91	25	60	-4	1006	249	193	59	6335
2599	81	23	42	3	977	244	194	68	6319
2587	59	18	30	11	947	230	199	95	6303
2581	18	12	0	0	918	211	215	140	6287
2583	291	11	30	7	888	190	238	188	6272
2591	250	16	60	13	859	183	250	204	6256
2606	63	7	108	5	541	226	226	134	6094
2604	45	4	85	3	513	221	231	147	6079
2603	301	3	67	5	485	211	238	165	6065
2608	59	1	42	10	457	220	235	152	6052
2603	93	8	30	6	430	233	228	127	6038
2597	111	6	0	0	402	230	234	137	6024
2595	113	5	0	0	376	230	234	138	6011
2592	105	5	30	-2	350	229	233	138	5997
2589	119	5	60	-5	324	228	235	141	5984
2588	130	4	90	-6	300	226	237	145	5971
2587	108	4	120	-7	277	226	235	144	5958
2584	93	5	150	-10	255	228	232	138	5945
2535	25	11	0	0	417	215	216	137	5713
2530	43	12	30	1	433	222	213	123	5703
2526	43	12	30	2	450	222	213	124	5693
2521	33	10	30	0	469	218	218	135	5683
2519	22	8	30	4	488	215	222	144	5673
2517	35	10	30	0	509	219	218	134	5664
2514	23	7	30	2	531	216	225	145	5654
2514	0	6	42	3	553	212	229	155	5645
2515	40	7	60	9	576	221	224	138	5636
2510	72	9	67	4	600	231	223	125	5627
2942	124	12	330	3	5704	240	231	118	3602
2939	122	14	330	0	5674	243	228	110	3632
2929	109	18	330	-9	5644	248	217	91	3662
2919	101	15	330	-19	5614	244	218	99	3692
2913	94	12	330	-25	5584	238	222	113	3722
2906	100	8	330	-32	5554	234	229	127	3752
2903	126	6	330	-35	5524	231	236	138	3782
2900	123	7	330	-38	5494	231	235	137	3812
2896	118	5	330	-42	5464	228	236	142	3842
2896	86	3	330	-42	5434	224	234	145	3872
2893	41	5	330	-45	5404	220	229	145	3902
2893	29	5	331	-45	5374	218	229	147	3932
2890	67	6	335	-45	5344	227	228	135	3962
2886	27	3	342	-49	5314	218	232	151	3992
2890	2	6	351	-38	5284	212	229	154	4022
2886	32	9	342	26	5254	218	220	137	4052
2883	49	9	335	23	5224	224	221	131	4082
2880	77	8	323	20	5194	230	226	129	4112
2877	122	4	313	23	5164	228	236	143	4142
2877	156	9	306	23	5134	230	241	143	4172
2873	180	12	295	19	5104	224	247	154	4202
2877	206	16	283	27	5074	208	253	175	4232
2883	206	17	268	33	5044	207	253	176	4262
2860	176	12	182	23	4595	226	246	152	4712
2860	180	12	190	23	4565	224	247	154	4742
2860	175	10	201	26	4535	226	245	151	4772
2860	142	8	210	23	4505	232	238	139	4802
2857	111	13	210	43	4475	242	225	110	4831
2847	102	18	201	36	4445	247	214	89	4861
2837	104	15	190	29	4415	244	220	101	4891
2831	158	8	170	23	4385	229	242	145	4921
2834	180	14	150	30	4355	225	248	153	4951
2831	188	17	127	27	4325	219	250	158	4981
2837	189	18	108	33	4295	217	251	160	5011
2834	165	19	95	30	4265	233	242	131	5041
2831	155	21	85	27	4235	239	236	116	5071
2824	145	22	67	20	4205	245	230	102	5101
2814	143	22	60	10	4175	245	229	101	5131
2808	138	22	42	13	4145	247	227	96	5161
2798	135	16	30	3	4115	244	231	112	5191
2795	112	9	30	0	4085	237	230	124	5221
2967	11	16	180	32	4960	201	205	139	1945
2962	11	16	210	27	4990	202	206	139	1932
2962	343	15	240	27	5020	188	216	166	1913
2966	340	16	270	31	5049	185	216	168	1891
2968	353	16	300	33	5079	190	210	156	1869
2967	7	15	360	32	5139	200	208	143	1825
2966	345	15	390	31	5169	190	216	164	1803
2952	74	9	134	25	4599	231	223	125	2155
2945	55	8	108	17	4629	225	223	132	2138
2944	32	9	85	18	4659	218	221	138	2122
2941	39	13	60	15	4689	220	212	124	2105
2936	25	11	30	4	4718	215	217	138	2089
2936	356	7	0	0	4748	209	227	157	2073
2937	318	6	0	0	4778	205	235	169	2058
2941	295	11	30	6	4808	189	237	188	2043
2947	294	14	60	12	4837	179	236	196	2028
2973	2	9	180	38	4956	208	224	153	1972
2969	16	12	210	34	4986	209	214	141	1956
2969	340	14	240	34	5016	190	219	167	1933
2974	336	15	270	39	5046	187	219	171	1911
2977	1	14	330	42	5105	199	213	150	1867
2952	63	7	134	2	4595	226	226	134	2180
2949	32	7	108	0	4625	219	224	142	2163
2949	18	8	85	0	4655	214	223	145	2147
2947	45	11	60	15	4685	223	216	126	2131
2941	39	9	30	5	4715	221	220	134	2115
2941	29	6	0	0	4744	218	227	145	2099
2942	283	12	42	5	4804	187	241	193	2069
2951	279	12	67	16	4834	187	242	194	2054
2952	14	9	95	2	4622	212	222	147	2188
2949	45	11	42	0	4681	223	216	126	2156
2944	47	10	30	3	4711	224	218	128	2140
2942	37	7	0	0	4741	220	224	140	2125
2939	342	7	30	-1	4771	206	230	162	2110
2944	297	11	60	8	4800	189	237	187	2095
2950	276	9	85	13	4830	196	242	186	2081
2959	72	2	90	9	4618	221	235	151	2214
2955	81	8	30	5	4678	231	226	128	2182
2950	84	9	0	0	4708	233	225	125	2166
2944	45	4	0	0	4738	221	231	147	2151
2946	323	7	30	4	4767	201	233	171	2136
2948	315	10	60	7	4797	193	232	178	2121
2952	167	8	90	2	4615	226	243	150	2239
2955	161	9	60	5	4645	229	242	145	2223
2950	135	12	30	0	4675	238	235	125	2207
2945	135	8	0	0	4705	234	237	134	2192
2943	236	2	30	-6	4734	216	240	162	2177
2947	286	7	42	3	4764	201	240	179	2162
2956	310	8	95	15	4824	197	234	177	2134
2949	106	3	90	0	4612	226	235	145	2264
2950	125	4	60	0	4642	226	237	145	2248
2945	96	7	30	0	4672	232	230	131	2233
2942	27	3	0	0	4702	218	232	151	2218
2945	320	7	30	0	4731	202	233	171	2203
2951	298	9	85	7	4791	195	237	182	2174
2957	295	8	108	15	4821	198	238	180	2160
2951	22	5	60	6	4639	217	229	149	2274
2949	27	8	30	7	4669	217	222	141	2259
2948	0	9	0	0	4699	208	224	154	2244
2956	312	7	90	6	4788	200	235	174	2201
2960	270	4	120	16	4818	210	241	170	2187
2954	3	5	42	1	4636	213	230	155	2300
2952	31	3	0	0	4696	219	233	151	2270
2958	22	4	30	5	4634	217	230	150	2326
2953	78	6	0	0	4664	227	230	137	2311
2953	263	6	60	5	4754	206	243	175	2268
2959	34	7	0	0	4632	219	225	142	2352
2954	61	9	0	0	4662	227	222	128	2337
2954	263	6	67	2	4751	205	243	176	2293
2771	87	20	234	83	242	244	204	80	2581
2760	92	17	216	72	228	244	212	91	2556
2753	103	11	201	65	216	238	226	118	2532
2749	102	12	190	61	201	239	225	114	2508
2771	91	21	258	83	268	247	202	74	2563
2758	98	19	242	70	256	247	209	82	2539
2750	111	12	228	62	242	241	227	114	2514
2746	113	12	218	58	228	240	228	117	2490
2739	102	16	212	51	218	245	217	95	2466
2729	94	17	210	41	212	245	211	89	2442
2771	85	22	283	83	295	245	196	69	2546
2757	88	21	268	69	283	246	201	75	2522
2748	93	12	256	60	268	239	221	110	2497
2744	99	11	247	56	256	238	225	117	2473
2737	95	15	242	49	247	243	217	99	2448
2722	76	14	240	34	240	237	213	105	2400
2749	80	14	285	61	295	238	213	102	2480
2744	86	12	277	56	285	237	221	113	2455
2737	87	14	272	49	277	240	216	104	2431
2729	78	12	270	41	272	236	217	111	2406
2724	69	12	247	46	270	233	215	113	2382
2706	69	21	190	32	212	237	195	80	2334
2696	62	16	162	22	182	232	205	101	2310
2691	54	12	134	17	153	227	213	117	2287
2685	49	10	108	10	124	224	218	127	2263
2744	82	13	306	56	313	238	216	107	2438
2737	82	13	301	49	306	237	218	109	2413
2731	70	10	285	53	301	231	220	120	2389
2727	62	11	256	53	277	230	216	118	2364
2720	66	17	228	46	247	234	205	97	2340
2700	61	17	175	26	190	232	203	99	2292
2689	48	11	120	15	134	224	216	124	2244
2754	74	20	342	66	351	239	198	81	2446
2745	79	15	335	57	342	239	211	98	2421
