altitude	exposition	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	espece
2991	285	11	849	98	5939	189	240	191	6068	0
2968	108	5	306	49	4113	229	234	138	5265	0
2932	77	13	108	21	3911	236	216	108	5067	0
2808	356	7	153	3	2592	209	227	157	3757	0
2913	261	10	313	10	5706	197	245	187	5517	0
2919	232	8	323	19	5728	207	248	178	5539	0
2978	257	6	85	13	4795	205	244	177	5905	0
2574	312	14	134	32	636	183	229	187	1924	0
2595	9	14	42	19	799	204	212	144	2010	0
2929	232	8	366	33	5835	208	247	177	5776	0
3001	246	9	764	101	5961	201	247	184	6227	0
2813	94	7	371	56	1800	231	230	132	2872	0
2988	342	6	192	26	4805	208	231	162	5836	0
2861	0	6	134	10	2980	211	228	155	3972	0
2804	61	7	362	10	1838	226	225	133	2825	0
2914	141	9	277	18	3471	234	238	135	4430	0
2668	41	17	283	68	1276	219	200	110	2240	0
2955	30	9	30	3	4478	218	220	137	5370	0
2932	100	7	30	-6	4280	232	231	131	5166	0
2874	352	2	400	19	2869	216	236	157	3653	0
2952	62	8	192	30	4487	227	223	130	5251	0
3050	281	4	630	85	5540	209	240	169	6162	0
2955	285	11	212	19	4302	188	240	192	5057	0
2791	41	17	458	-18	1740	220	201	111	2294	0
2895	51	10	162	0	3326	225	219	127	4002	0
3024	81	9	218	49	4152	233	224	123	5114	0
2962	251	9	480	66	5863	201	246	183	6356	0
2978	27	4	192	13	4780	218	230	149	5502	0
2952	40	12	323	0	4558	221	213	124	5268	0
2945	348	13	255	32	3768	194	217	161	4425	0
2851	49	13	268	46	2538	225	211	118	3037	0
2933	111	8	300	20	3644	234	231	129	4221	0
2955	37	5	426	42	3905	220	229	145	4475	0
3001	276	9	752	103	5893	197	242	184	6012	0
3008	281	10	780	110	5864	194	241	187	5998	0
2942	28	5	391	29	3707	218	230	148	4228	0
2921	331	9	395	8	3516	200	230	169	4024	0
2985	315	5	361	20	5023	206	235	169	5570	0
2978	289	14	570	42	4480	179	238	198	5007	0
2889	51	20	362	66	2689	225	193	94	3049	0
2814	103	3	210	4	2145	225	235	145	2316	0
2938	127	9	408	107	2896	236	234	128	3239	0
2828	95	11	127	15	2467	238	224	116	2714	0
2977	94	8	466	12	4283	232	229	129	4676	0
3034	45	2	680	46	5544	220	234	151	5490	0
2901	176	15	256	49	3181	226	247	149	3360	0
2995	66	6	247	13	4770	227	227	135	5126	0
2528	151	6	108	4	598	228	240	145	390	0
2939	243	24	400	41	5619	164	250	217	5753	0
3008	215	11	696	112	5880	209	251	176	5600	0
3021	238	9	815	125	5855	204	248	181	5543	0
2937	80	11	330	15	4094	234	221	118	4354	0
2844	317	10	67	20	2758	194	231	178	2724	0
2781	13	3	351	25	2148	216	233	154	1707	0
2945	252	18	421	47	5615	176	249	209	5686	0
2857	143	12	85	8	3111	238	237	127	3161	0
2800	185	9	170	22	2382	222	246	158	2001	0
2975	126	9	120	3	4763	235	234	130	4928	0
3060	167	18	95	16	3251	232	244	136	5755	0
2899	120	8	162	19	3944	234	234	132	4034	0
2861	107	8	30	0	3434	234	231	129	3406	0
2853	351	3	0	0	3342	214	234	158	3287	0
2785	202	8	134	18	2429	217	247	165	1860	0
3050	167	16	67	6	3229	231	244	140	5783	0
3004	141	13	124	3	3500	239	236	124	5934	0
2952	58	10	201	16	3736	228	218	123	6078	0
2975	136	15	124	7	3543	243	232	114	6039	0
2858	125	8	268	7	3288	233	235	134	3034	0
2854	163	9	285	5	3246	229	243	146	2974	0
2873	351	6	201	11	3459	210	230	159	3242	0
2839	120	9	190	23	3055	236	233	128	2612	0
2792	86	7	228	4	2862	230	229	132	2282	0
2995	6	14	201	13	5167	202	213	146	4670	0
2702	90	1	0	0	1727	221	236	151	932	0
3004	31	6	180	13	5222	219	228	145	4624	0
2919	117	6	150	0	3903	231	234	136	6349	0
2945	258	14	376	45	5535	186	247	199	5134	0
3054	270	1	390	63	5742	215	239	161	4830	0
2915	81	8	0	0	4345	231	226	128	4260	0
2756	30	4	150	2	2571	218	231	149	1770	0
2717	155	4	0	0	2037	224	240	150	1230	0
2928	315	1	150	23	4194	215	237	160	4050	0
2770	95	3	258	7	2813	224	235	147	2011	0
2656	77	23	283	-23	1320	242	190	66	518	0
2750	124	5	150	9	2370	229	236	140	1565	0
2907	45	7	350	13	4041	222	225	138	3783	0
2781	65	13	42	6	3162	232	214	112	2465	0
2715	203	5	124	-1	1920	217	245	164	1120	0
2739	130	8	134	26	2160	234	236	133	1366	0
2922	129	3	218	18	4283	225	237	147	4027	0
2792	101	6	108	29	3180	230	232	135	2442	0
3041	243	14	513	50	5911	192	250	195	4636	0
2888	32	8	470	72	3700	219	224	141	3164	0
2613	132	27	170	55	1260	251	215	73	558	0
2773	81	14	108	24	3019	238	215	106	2338	0
3064	45	16	228	60	5623	223	203	110	4361	0
2742	174	9	268	23	2455	226	245	152	1725	0
2677	167	16	85	9	1680	231	244	140	953	0
2567	140	18	60	9	1110	244	232	110	492	0
2739	142	6	228	20	2465	229	239	143	1761	0
3001	267	14	641	101	5749	182	245	201	4570	0
2584	343	13	150	39	812	192	219	165	480	0
2902	104	6	558	89	3643	230	233	136	3107	0
2909	212	6	212	50	4092	215	246	168	3586	0
2910	198	5	234	51	4063	218	244	161	3556	0
3011	263	12	674	111	5753	189	246	196	4386	0
2939	288	5	379	39	5448	207	239	171	4506	0
2949	277	12	437	49	5506	186	242	195	4471	0
2900	315	1	90	0	5152	216	237	159	4667	0
2932	96	7	247	17	3861	232	229	129	5585	0
2909	72	5	324	5	4554	226	230	138	5006	0
2909	0	3	350	5	4582	215	233	156	4985	0
2900	180	3	300	-2	4725	220	241	156	4880	0
2867	143	12	437	114	3363	237	237	129	2963	0
2617	15	14	30	0	1652	207	211	139	1383	0
2998	340	7	108	16	2978	205	230	163	6224	0
2962	276	7	497	47	3610	201	242	179	5658	0
2759	160	12	120	35	2782	233	242	139	2462	0
2646	9	33	60	9	1771	165	156	112	1518	0
3027	217	17	700	127	5844	201	254	185	4011	0
2963	121	13	175	0	4557	241	229	116	3360	0
2690	343	24	120	34	1816	163	195	165	1645	0
2660	3	9	297	60	1307	207	222	152	1249	0
2955	235	21	451	55	5590	180	253	205	4074	0
2953	120	13	134	3	4518	241	229	115	3297	0
3014	338	8	150	23	2888	202	228	165	6169	0
2982	47	9	437	-7	3387	223	220	131	5641	0
2739	311	10	270	80	1765	193	233	180	1742	0
2983	5	5	400	-6	3406	213	230	154	5600	0
2916	243	3	335	16	5442	213	242	166	4030	0
2690	318	7	514	78	967	202	234	171	1310	0
2599	89	10	30	-1	558	235	224	120	1233	0
2919	264	7	408	19	5490	202	244	181	3945	0
2975	253	12	616	59	5780	193	248	193	3739	0
2617	83	9	127	16	573	233	224	122	1290	0
2574	92	7	0	0	408	232	229	129	1318	0
2939	19	11	60	7	3980	212	217	141	5016	0
2784	348	13	170	37	2758	194	217	161	2687	0
2919	236	7	350	16	5470	208	246	176	3853	0
2995	233	14	638	89	5932	196	252	191	3487	0
2817	32	15	390	74	2561	216	207	124	2613	0
2932	18	2	485	13	4326	217	234	154	4597	0
2826	11	7	366	73	2648	213	225	150	2704	0
2795	47	10	451	95	2260	224	219	129	2389	0
2760	62	5	547	66	1842	224	230	142	2079	0
2700	76	9	433	-15	1124	231	224	126	1691	0
3001	238	9	592	92	5966	204	248	181	3379	0
2699	165	3	390	2	908	222	240	154	1670	0
2730	79	6	270	14	1353	228	229	135	1883	0
2655	82	8	384	104	607	232	225	126	1634	0
2644	46	14	319	93	518	224	209	116	1624	0
2998	252	12	553	89	5940	193	248	193	3271	0
2854	28	8	446	99	2791	217	223	141	2912	0
2809	63	8	458	36	2251	228	223	128	2486	0
2633	94	19	258	82	454	246	208	84	1651	0
2588	152	10	182	47	277	233	240	138	1654	0
2811	84	10	433	38	2250	234	224	121	2506	0
2926	208	15	300	20	5633	208	253	176	3446	0
2839	71	14	488	66	2370	235	213	107	2616	0
2689	179	11	210	2	932	225	247	153	1851	0
3015	66	19	335	22	3777	235	199	88	4847	0
2995	62	14	362	5	3836	231	211	109	4795	0
2938	159	7	285	22	4891	228	242	146	2656	0
2929	130	8	150	17	4651	233	236	135	2590	0
2851	107	11	458	78	2402	238	227	119	2698	0
2949	122	14	379	28	5131	242	229	113	2714	0
2596	33	14	335	66	150	216	209	125	1321	0
2939	45	8	306	26	4602	223	222	134	4080	0
2805	44	17	170	32	1902	222	200	108	2436	0
2932	54	16	283	119	3578	228	203	104	2418	0
2864	128	8	451	63	2741	234	235	133	2713	0
2946	352	14	170	35	4298	195	216	158	2352	0
3018	49	14	631	22	3936	225	208	114	4569	0
2863	193	6	390	62	2869	220	245	161	2577	0
2978	156	6	524	61	5532	228	241	147	2688	0
2945	63	12	324	110	3561	230	215	116	2278	0
2618	7	18	170	47	458	196	202	140	1866	0
2968	120	9	365	51	5386	236	232	127	2557	0
2734	93	5	277	16	1645	228	232	138	2445	0
2728	83	11	277	19	1587	236	220	114	2416	0
2762	190	5	30	-3	1972	220	244	159	2647	0
2922	270	5	120	9	4843	207	241	173	3582	0
2926	61	11	90	9	5123	229	218	121	2375	0
2962	346	6	518	45	5549	209	231	160	2514	0
2624	183	27	60	22	1195	215	245	145	2374	0
2917	107	5	210	33	3413	229	234	139	2125	0
2644	345	3	85	-4	509	214	235	159	1426	0
2645	45	4	134	-3	467	221	230	145	1368	0
2651	40	14	242	4	641	220	208	119	1783	0
2936	231	7	285	30	5773	210	246	174	2571	0
2617	344	19	30	6	1307	178	206	165	2506	0
2952	281	5	212	33	4824	206	240	173	2022	0
2968	286	17	283	41	4735	171	237	206	1992	0
2992	228	6	458	79	4439	211	246	172	1919	0
2976	124	9	277	39	4173	235	234	129	1891	0
2955	311	9	421	49	5660	196	234	177	2428	0
2794	179	20	124	29	2629	224	247	147	2408	0
2661	266	4	67	4	631	210	241	169	1499	0
2976	315	19	319	58	4779	165	220	194	1917	0
3109	87	13	446	16	3469	239	218	108	4669	0
2954	156	10	301	79	4308	232	242	141	1657	0
2662	138	23	30	8	2173	248	225	93	2588	0
2988	69	14	228	3	4298	234	211	106	3596	0
2965	72	14	361	6	4509	235	212	105	3383	0
2663	118	21	30	11	2214	250	217	84	2546	0
2600	64	10	247	33	277	230	219	122	1195	0
2669	31	3	342	17	696	219	233	151	1559	0
2610	135	6	272	13	323	230	237	141	1256	0
2709	323	24	127	59	2125	153	208	191	2563	0
2676	66	3	391	24	883	222	233	147	1745	0
2714	329	25	127	45	2207	153	202	184	2479	0
2795	126	24	153	23	3259	252	215	76	1740	0
2740	332	27	175	70	2239	146	194	181	2432	0
3009	238	7	446	42	5071	207	246	177	1631	0
2964	84	19	124	32	4607	243	204	83	1434	0
2783	332	30	255	114	2180	138	188	181	2467	0
2593	7	8	85	-5	335	211	225	151	1279	0
2872	79	9	0	0	4336	232	224	124	1323	0
2769	107	11	95	12	1663	238	227	119	2869	0
2719	48	7	361	33	1290	223	224	136	2177	0
2763	357	23	201	66	2728	177	192	147	2032	0
3011	73	9	659	7	4341	231	223	124	3215	0
2808	112	9	0	0	4034	235	231	127	1230	0
2811	352	13	228	35	2145	198	218	158	2464	0
2892	48	23	150	51	4337	222	183	85	1140	0
2922	293	14	283	6	5205	179	236	197	2218	0
2828	352	23	424	143	2556	174	194	154	2086	0
2598	327	7	30	0	582	204	233	168	1482	0
2834	348	26	430	139	2647	163	188	157	2005	0
2810	42	14	300	64	1666	222	209	120	2620	0
2613	39	9	42	4	685	221	219	133	1626	0
2647	234	2	323	18	726	216	241	162	1299	0
2667	95	9	541	13	691	234	227	124	1293	0
2942	305	8	379	13	5232	198	236	177	2110	0
2971	340	15	85	18	4734	187	217	168	1131	0
2822	308	5	234	66	1758	205	237	171	2765	0
2687	338	10	437	34	792	198	226	167	1350	0
3034	50	22	531	16	4252	224	186	86	3131	0
2876	343	22	532	181	2742	171	201	165	1894	0
2802	358	6	433	50	1718	210	228	156	2630	0
2958	39	25	351	134	4440	211	176	87	932	0
2890	20	16	430	182	2954	208	205	131	1723	0
2686	29	23	95	36	1082	205	184	106	2036	0
2619	13	4	42	3	819	215	231	152	1691	0
2929	44	16	591	65	2698	222	204	112	1911	0
2849	293	22	120	44	2115	154	229	213	2646	0
2803	333	20	182	56	3721	170	210	177	1124	0
2931	4	12	579	215	3018	204	218	150	1621	0
2871	82	14	228	47	2385	238	215	105	2271	0
2653	332	13	190	43	900	190	224	173	1722	0
2655	21	13	741	45	630	211	212	135	1652	0
2659	332	13	201	43	930	190	224	173	1749	0
2665	0	10	190	32	930	206	222	154	1728	0
2871	92	32	218	97	4173	249	174	28	792	0
2988	217	7	446	72	5467	212	247	171	1437	0
2920	316	29	433	186	3511	133	202	203	1265	0
2718	63	17	242	78	1142	233	204	98	2082	0
2682	66	8	547	15	812	228	225	131	1702	0
2662	324	6	616	52	543	205	233	168	1765	0
3096	49	14	242	26	4180	225	208	114	2984	0
2975	38	11	633	245	3282	220	216	129	1381	0
2653	93	12	511	43	424	239	222	111	1833	0
2876	314	26	295	121	3746	142	210	203	1074	0
2969	35	4	531	99	2930	219	231	148	1679	0
2662	119	10	531	52	481	237	232	125	1841	0
2919	108	7	85	3	5022	232	232	133	1841	0
2673	27	23	30	11	1113	204	183	106	1800	0
2696	276	11	120	29	1167	190	242	192	1776	0
2694	56	14	480	27	866	228	211	113	1782	0
3024	56	17	67	6	4397	229	203	101	2584	0
2986	174	18	234	17	4805	228	246	142	644	0
2860	332	5	485	105	1964	209	234	163	2905	0
2690	40	11	495	-20	800	221	215	127	1820	0
2987	169	17	390	43	4629	230	245	139	547	0
2787	96	17	218	32	1767	245	214	93	2718	0
2934	299	25	418	171	3736	141	221	216	1044	0
2712	304	7	190	45	1146	201	237	175	1862	0
2954	160	13	390	51	3012	233	242	137	1608	0
3044	57	16	108	-5	4295	229	206	105	2589	0
2764	76	7	323	32	1437	229	227	131	2372	0
3034	61	17	212	-9	4325	231	202	98	2491	0
2753	230	14	175	40	1398	197	252	190	2315	0
2936	100	13	300	20	4687	242	221	107	2012	0
2875	331	15	277	43	2506	184	221	176	2402	0
2878	273	20	134	61	4085	164	241	215	738	0
2856	66	14	371	36	2086	233	211	108	2905	0
2976	211	7	509	45	3599	215	247	168	1022	0
2747	9	6	150	22	1380	214	228	152	2182	0
3073	99	20	216	-12	4133	248	209	80	2624	0
2932	93	9	124	16	4860	235	226	123	342	0
2889	323	24	277	43	2605	152	208	191	2315	0
2651	64	9	127	3	335	229	221	125	1559	0
2942	170	12	323	-45	4552	229	245	147	2051	0
2534	108	2	247	13	234	221	237	151	1395	0
2774	10	7	306	39	1691	213	227	151	2621	0
2732	43	9	0	0	1566	222	220	132	2455	0
2916	228	12	67	7	4975	202	251	185	1507	0
2744	118	18	42	13	1531	248	221	95	2334	0
3032	87	12	277	71	5328	238	219	109	671	0
2904	53	26	30	9	4975	224	176	71	256	0
2866	122	6	242	46	2335	230	235	138	2730	0
2539	24	6	120	-3	446	217	226	146	1208	0
2903	146	10	443	42	2766	234	239	135	2219	0
2924	9	6	255	50	3095	213	227	152	1855	0
2740	56	15	162	10	1442	229	207	107	2151	0
2935	7	16	67	22	4198	199	207	143	457	0
2914	104	4	391	41	2989	226	234	143	1995	0
2564	44	18	67	21	680	221	199	106	1052	0
3010	203	16	484	159	5519	211	253	173	760	0
2753	111	6	90	-3	1897	230	234	137	2791	0
2925	82	5	424	51	3066	227	231	138	1948	0
2754	101	11	85	19	1588	239	225	115	2148	0
2693	5	12	120	0	828	205	217	149	1383	0
2674	344	7	234	-2	626	206	229	162	1116	0
2961	97	20	150	47	3636	248	206	77	1218	0
2939	88	7	342	57	3234	231	228	129	1812	0
2761	181	10	42	4	2117	223	247	156	3019	0
2764	148	6	175	20	1816	229	239	144	2307	0
2971	322	22	361	158	4671	160	213	190	258	0
2750	60	4	0	0	2154	223	231	144	2976	0
2695	15	7	285	1	819	214	225	148	1104	0
2993	346	10	300	16	4663	201	225	162	175	0
2972	0	16	210	20	4200	195	209	150	2112	0
2931	30	14	391	50	3078	215	209	128	2093	0
2868	188	2	108	14	2616	219	240	157	2470	0
2976	252	3	212	95	5365	213	241	166	900	0
2926	67	12	324	45	3055	232	217	116	2093	0
2719	126	11	277	-10	1092	239	233	123	1302	0
2624	109	14	127	14	911	244	223	105	655	0
2985	90	9	295	53	4375	234	226	123	1900	0
2909	77	10	120	6	4759	233	221	119	1499	0
2911	130	30	108	52	5485	252	207	60	811	0
2780	357	14	85	13	2335	197	213	153	2952	0
2854	338	7	0	0	5493	205	230	164	703	0
2856	2	14	0	0	5468	200	214	150	684	0
2945	76	10	175	42	4542	233	220	118	1717	0
3002	166	4	258	22	4690	223	241	153	120	0
3041	125	13	323	76	3971	242	230	115	2308	0
2878	339	20	30	15	5493	175	208	170	872	0
2770	51	12	120	7	1528	226	214	120	1652	0
2733	89	15	582	20	1092	242	214	98	900	0
2673	69	14	240	56	1084	234	211	106	553	0
2544	86	7	247	-16	1020	230	229	132	531	0
3162	55	10	190	23	2871	226	219	126	3501	0
2998	151	24	124	39	4140	242	231	105	2117	0
2972	37	7	90	16	4242	220	224	139	920	0
2851	43	17	255	37	2599	221	201	110	2771	0
2601	48	11	162	-18	1243	224	216	124	342	0
2814	5	9	201	48	1829	209	223	152	1884	0
3025	96	7	234	17	4437	232	229	129	726	0
2955	3	13	42	3	4224	201	214	149	2039	0
2905	248	3	95	11	4859	214	241	165	1490	0
3001	17	6	323	43	3929	215	228	150	1371	0
2712	72	12	391	88	1351	233	217	115	560	0
2882	37	10	0	0	5639	220	219	133	1040	0
2962	108	9	150	4	3840	236	230	125	1320	0
2762	357	9	658	1	1529	207	225	156	900	0
2984	132	11	153	26	3967	238	234	124	1245	0
2900	66	17	42	6	5655	234	205	97	1116	0
3014	234	21	285	115	5432	180	253	205	834	0
2834	32	15	247	36	1897	216	207	124	1561	0
2780	96	5	582	21	1616	228	233	139	902	0
2802	91	11	540	18	1699	237	223	115	1084	0
2853	39	10	350	55	2109	221	219	132	1834	0
3025	194	15	342	112	5307	217	251	164	1396	0
2960	104	20	150	41	3479	249	211	82	1663	0
2932	113	15	85	19	3432	245	223	104	1734	0
2752	68	11	418	65	1684	232	218	118	626	0
2906	87	10	212	42	3070	236	223	118	2513	0
2756	81	10	420	5	1717	234	222	118	664	0
2666	63	14	212	19	1176	232	211	109	228	0
2654	78	11	272	7	1116	234	220	116	258	0
2975	354	40	474	0	4118	126	141	132	2250	0
3131	318	13	618	85	5272	185	228	183	872	0
2770	68	3	330	11	1820	222	234	148	808	0
2987	236	21	365	74	5302	178	253	207	1537	0
2999	347	13	150	21	4146	195	218	162	966	0
2942	5	11	60	3	3542	206	219	150	1745	0
2997	351	6	42	-2	3827	210	230	159	1302	0
3037	346	13	418	0	3667	195	219	162	2696	0
3174	350	13	700	66	5370	195	217	160	1050	0
3082	79	2	212	32	4669	222	234	148	816	0
2841	96	5	295	57	2174	228	233	139	1558	0
3004	273	14	301	93	5754	181	243	201	1237	0
3168	203	6	700	60	5459	217	246	164	1140	0
3130	110	12	421	51	5271	240	227	115	1172	0
2775	191	9	134	-11	2081	220	247	161	1140	0
2744	81	11	170	25	1702	235	219	114	642	0
